"content_id","user_id","name","keyword","price","flag_used","category_id_1","category_id_2","category_id_3","emergency_cnt","comment_cnt","interest","pfavcnt"
125921147,3034289,"[L]레이스 니트,할인","레이스니트,레이스블라우스,빈티지니트,L,큐빅",16000,2,"310","310060","310060",0,0,134,2
130346857,948674,"*당일발송*아이폰11PROMAX 최저가 판매","아이폰11,아이폰11pro,아이폰11프로,아이폰11프로맥스",789000,2,"600","600700","600700001",2,1,25209,357
163141431,6787880,"N 입생로랑 시네마 오드퍼퓸 35ml 향수","입생로랑,시네마,오드퍼퓸,향수",35000,1,"410","410500","410500300",0,0,71,1
163153295,10197556,"아이폰12미니 128기가 화이트 SS급 48480","아이폰12미니,아이폰12mini,12mini,12미니",670000,1,"600","600700","600700001",0,0,130,8
122641428,3627723,"(새제품,사은품)독일기술 이보크 슬림스탠드형 인덕션 하이라이트 인덕션","인덕션,가스렌지,가스레인지,하이라이트,전기렌지",280000,2,"800","800400","800400100",1,13,20129,369
159847792,2034620,"쿠쿠살균비데CBT-IS1031W(방수비데)","쿠쿠비데,방수비데,비데,고급비데",149000,2,"600","600400","600400999",0,0,109,5
162906816,75942806,"신품휠 4개 40만원 18인치 BBS ZK003 ST DBK 휠",,400000,1,"750","750610","750610100",0,0,112,3
162903723,10197556,"아이폰12 256기가 SS급 그린 풀박스 48349","아이폰12,iphone12,아이폰12그린,아이폰12256",850000,1,"600","600700","600700001",0,0,316,11
161789364,3682152,"갤럭시A31 (A급) 64GB 실버","갤럭시a31,갤럭시a315",130000,1,"600","600700","600700001",0,0,139,5
94725717,6549054,"정장12종모음(사계절)","남자수트셋업,남자정장세트,정장,정장세트,수트",65000,2,"320","320140","320140999",0,11,6996,162
150039095,2378282,"디마르3 렘로즈 라이트 클렌징 오일 클렌징오일","클렌징,클렌져,클렌저",10000,2,"410","410100","410100400",0,0,824,39
162784095,328309,"할인 이벤트 반팔 반바지 한정 ( 폴로 나이키 아디다스 등 )","이벤트,반팔,반바지,폴로,라코스테",10000,1,"320","320210","320210100",0,0,130,1
160209939,1909021,"유니맥스 더블헤드 양방향 선풍기 360도 회전 가능 매장용 상업용 공업용","선풍기,여름상품,업소용선풍기,공업용,송풍기",108000,2,"600","600400","600400003",0,0,216,6
162700359,1279344,"정품 정가90만원 2021년형 보랄 시그니처 옵티마 진공 무선 청소기","청소기,무선청소기,진공청소기,최신형청소기,파워청소기",249000,2,"600","600400","600400003",0,0,105,1
161397461,8602749,"A급. 여자골프채풀세트  바퀴형골프백","히메,예스히메,여자골프채풀세트,여자골프,바퀴형골프백",630000,1,"700","700600","700600300",0,1,457,9
163215973,3947717,"[MSI] GTX1650 벤투스 S OC D6 4GB 벌크","gtx1650,gtx1650중고,그래픽카드,msi,vga",300000,1,"600","600200","600200005",0,0,67,1
163243990,12851816,"#한정판매#갤럭시노트20 S급 레드 256G 중고폰공기계[10537]","갤럭시노트20,노트20중고,노트20중고폰,노트20공기계,직거래",525000,1,"600","600700","600700001",0,0,120,4
116704140,62949,"CCTV[특가!]240만~840만화소 4대CCTV풀세트,감시카메라 새제품","cctv,하이크비젼,씨씨티비,감시카메라",164000,2,"600","600400","600400999",0,7,12486,299
162934536,77306652,"[silver] 팔각체인 무광 은팔찌","은팔찌,팔찌,남자팔찌,남자은팔찌,체인팔찌",250000,2,"420","420200","420200300",0,0,300,12
130345479,948674,"*당일발송*아이폰8 최저가 판매","아이폰7,아이폰8,아이폰7플러스,아이폰8플러스,아이폰se2",159000,2,"600","600700","600700001",2,5,55838,1339
130346033,948674,"*당일발송*아이폰XS 최저가 판매","아이폰x,아이폰xs,아이폰xr,아이폰xsmax",319000,2,"600","600700","600700001",0,4,46960,1458
158949292,10255755,"S10 5G  512GB  [블랙]  47660  (S급)","S105G,s105g,갤럭시s105g,갤럭시S105G,S105G블랙",300000,1,"600","600700","600700001",0,0,725,16
162881464,10255755,"아이폰12미니  64GB  [그린]  48409  (A급)","아이폰12미니,12미니,12미니그린,아이폰12미니그린,12미니64",550000,1,"600","600700","600700001",0,0,498,20
117203579,10557962,"팰리세이드 20인치 순정 임판휠(상태 특 A급)","팰리세이드,20인치,임판휠,싼타페,쏘렌토",236000,1,"750","750610","750610100",0,0,2086,19
147582683,6972746,"[A급]S10 128GB,프리즘화이트,대구중고폰","S10,S10중고,갤럭시S10,S10플러스,S105G",230000,1,"600","600700","600700001",0,0,1920,32
146784248,2604332,"[무료배송] 갤럭시S20플러스S21울트라노트8노트9노트10노트20케이스","아이폰12케이스,아이폰11케이스,아이폰XR케이스,아이폰8케이스,아이폰7케이스",15000,2,"600","600700","600700003",0,0,2271,62
152625811,2347538,"#당일발송# LG V50S  전용량 전등급 등급별초특가!!","LGV50S,LGV50S중고,LGV50S중고폰",185000,1,"600","600700","600700001",0,0,2659,57
