"imp_id","server_time_kst","bid_price","device_type"
"998c612ddc710093c7fd","2021-08-31T16:38:36.970+09:00","55","a"
"998c612ddd2d0096ca31","2021-08-31T16:42:54.820+09:00","55","a"
"97cf612ddfa309f90387","2021-08-31T16:52:44.304+09:00","50","a"
"99d1612ddd34223ebc3b","2021-08-31T16:42:06.257+09:00","50","a"
"998c612dd6c8007c38bb","2021-08-31T16:42:04.147+09:00","385","a"
"97cf612dd6e309d45fc2","2021-08-31T16:15:14.518+09:00","50","a"
"99d1612ddc8d223c1be6","2021-08-31T16:39:00.564+09:00","80","a"
"99d1612dd4ca221c15cf","2021-08-31T16:06:07.244+09:00","50","a"
"998c612ddb3e008ee772","2021-08-31T16:40:29.144+09:00","50","a"
"99d1612dddb72240e83a","2021-08-31T16:44:15.128+09:00","50","a"
"9919612ddddc2234aa10","2021-08-31T16:44:34.826+09:00","50","a"
"971a612dda7d0e9ea2e0","2021-08-31T16:30:24.375+09:00","50","a"
"971a612dde6b0eaeb7f2","2021-08-31T16:47:00.153+09:00","50","a"
"97cf612dd78c09d72ec6","2021-08-31T16:27:41.934+09:00","50","a"
"97f9612de0e316672f0f","2021-08-31T16:57:55.018+09:00","55","a"
"971a612ddf9d0eb3bea7","2021-08-31T16:52:06.698+09:00","50","a"
"9919612dd62f2214d84e","2021-08-31T16:12:14.662+09:00","70","a"
"97f9612dd3fc16327228","2021-08-31T16:02:43.121+09:00","60","a"
"99d1612dd7c522282a1d","2021-08-31T16:21:02.699+09:00","70","a"
"998c612dd65a007a714a","2021-08-31T16:12:32.852+09:00","50","a"
"97f9612de0ce1666d0e8","2021-08-31T16:58:26.840+09:00","50","a"
"9919612ddb76222acb7b","2021-08-31T16:41:35.916+09:00","50","a"
"97f9612ddc101653498a","2021-08-31T16:42:48.165+09:00","50","a"
"971a612ddd6d0eaab33b","2021-08-31T16:42:50.261+09:00","50","a"
"971a612dd28c0e7ee108","2021-08-31T16:04:52.978+09:00","50","a"
"97cf612ddde109f1bbaf","2021-08-31T16:49:50.078+09:00","50","a"
"971a612ddef70eb110e2","2021-08-31T16:49:18.222+09:00","50","a"
"998c612dd9150085cd3e","2021-08-31T16:39:57.295+09:00","50","a"
"9919612ddb052229037d","2021-08-31T16:32:28.512+09:00","50","a"
"9919612dd9a922236166","2021-08-31T16:26:48.890+09:00","55","a"
"99d1612ddd13223e3c56","2021-08-31T16:45:21.831+09:00","50","a"
"97f9612de197166a4c59","2021-08-31T17:00:35.207+09:00","50","a"
"9919612dd67a221610c4","2021-08-31T16:13:30.525+09:00","50","a"
"97f9612dd746163f42fd","2021-08-31T16:22:36.808+09:00","65","a"
"998c612dd9860087b55b","2021-08-31T16:28:33.456+09:00","70","a"
"97f9612dd6e7163dbc85","2021-08-31T16:17:27.211+09:00","50","a"
"97cf612dd39209c77002","2021-08-31T16:01:49.553+09:00","50","a"
"998c612ddd4e00975556","2021-08-31T16:42:13.265+09:00","50","a"
"998c612dda2d008a823d","2021-08-31T16:28:51.723+09:00","50","a"
"971a612dd76e0e91b3b3","2021-08-31T16:17:39.329+09:00","50","a"
"99d1612dd57f221eda43","2021-08-31T16:08:58.672+09:00","50","a"
"998c612dd59d00777364","2021-08-31T16:09:21.398+09:00","105","a"
"99d1612dd4ed221ca6a1","2021-08-31T16:06:30.418+09:00","55","a"
"97cf612dd3dd09c87f56","2021-08-31T16:01:54.517+09:00","95","a"
